,P,U_x,U_y,x,y,z,t
0,-8.963360480014356e+26,7.313708319559024e+25,-7.856859215852047e+25,0.0,0.0,0.0,
1,-1.5057791181512775e+27,14338169237912.51,-116853774914688.56,0.5,0.0,0.0,
2,6.1698426687766685e+26,104020650381545.38,180405830570414.72,0.0,0.5,0.0,
3,1.1645807897159086e+26,6726697849217.801,3.992830093272038e+25,0.5,0.5,0.0,
4,-1.5057791181376694e+27,243801966653499.62,82128194674213.08,0.0,0.0,0.5,
5,-1.1012089505878964e+26,-646526933686971.0,-540179719293364.0,0.5,0.0,0.5,
6,1.075586675870744e+26,-4.5359809895261535e+25,598912808898575.0,0.0,0.5,0.5,
7,6790717485984726.0,-169386838183581.94,-27492395608274.145,0.5,0.5,0.5,
8,-4.531396474448046e+27,-2136775672341287.0,1118906447837681.0,1.0,0.0,0.0,
9,-5.455000088178142e+26,5.3816937582257285e+25,1.2880097068629638e+24,1.0,0.5,0.0,
10,1.5057791181322265e+27,20322790979667.69,8923950558057.102,1.0,0.0,0.5,
11,3.7234922791460574e+26,-72550049751332.19,-215040692409667.8,1.0,0.5,0.5,
12,2.4531683815234278e+27,-2.1941124958643345e+26,2.357057764736127e+26,0.0,1.0,0.0,
13,4.517337354445726e+27,110951648937023.66,-398860371976671.1,0.5,1.0,0.0,
14,-5.881454559395705e+26,14496099009598.592,-46027594504573.336,0.0,1.0,0.5,
15,-2.920462499678259e+27,-299226345486987.7,1301081363135332.5,0.5,1.0,0.5,
16,4.901207473705115e+16,-835685629641845.0,58511493962734.75,0.0,0.0,1.0,
17,1.428472180224143e+27,-695992062945566.5,-2026235618203468.0,0.5,0.0,1.0,
18,-5.632988315868465e+26,-1.7582536594385232e+25,-6.467995550565337e+25,0.0,0.5,1.0,
19,-1.5057791181336394e+27,-880891219051562.1,-555412260846586.75,0.5,0.5,1.0,
20,2.6902828781784524e+26,-10089104888600.629,-52972559416380.625,1.0,1.0,0.0,
21,-6.056042334530526e+27,7.811899284788904e+25,1450774746507292.5,1.0,1.0,0.5,
22,3.0115582362426657e+27,158776742924596.72,-308925746887667.9,1.0,0.0,1.0,
23,2.875882549144311e+27,-352599477903333.25,-841854967003980.6,1.0,0.5,1.0,
24,-2.022933711175399e+27,-5.274760978607287e+25,-1.9403986651926042e+26,0.0,1.0,1.0,
25,-4.5173373544131544e+27,-1256657549424408.2,117277295178192.62,0.5,1.0,1.0,
26,2.699381862455471e+27,-718911616392027.1,116139424670361.72,1.0,1.0,1.0,
